question,answer
Làm thế nào để thông báo nội quy lao động cho người lao động?,Phải thông báo cho người lao động về nội quy lao động đã lập bằng các phương pháp như phân phát
Có thể nộp nội quy lao động bằng hình thức nào?,Có thể nộp nội quy lao động bằng hình thức đăng ký điện tử
Trước khi thay đổi nội quy lao động cần làm gì?,Cần phải lắng nghe đầy đủ ý kiến đại diện của người lao động và kiểm chứng cẩn thận xem nội dung và lý do thay đổi có phù hợp hay không
Nội quy lao động được thể hiện như thế nào để người lao động có thể xem?,"Nội quy lao động được thể hiện tới từng người lao động, treo hoặc đặt ở những vị trí dễ thấy trong nơi làm việc hoặc lưu lại thành dữ liệu điện tử để người lao động có thể xem bất cứ lúc nào."
Nội quy lao động có hiệu lực khi nào?,Nội quy lao động chưa có hiệu lực nếu chỉ được lập ra và lắng nghe ý kiến từ đại diện người lao động.
Nội quy lao động được thể hiện dưới dạng nào?,"Nội quy lao động được thể hiện dưới dạng văn bản hoặc dữ liệu điện tử để người lao động có thể xem bất cứ lúc nào trên màn hình máy tính, v.v."
"Nếu có quy định về ngày áp dụng nội quy lao động, khi nào nội quy lao động sẽ bắt đầu có hiệu lực?",Nội quy lao động sẽ bắt đầu có hiệu lực sau khi thông báo cho người lao động
"Nếu không có quy định về ngày áp dụng nội quy lao động, khi nào nội quy lao động sẽ bắt đầu có hiệu lực?",Nội quy lao động sẽ bắt đầu có hiệu lực vào ngày nội quy làm việc được thông báo cho người lao động
Bản mẫu nội quy lao động này được lập dựa trên những quy định nào?,các quy định của pháp luật và các quy định liên quan tại thời điểm được ghi trên bìa
Tính chất của Bản mẫu nội quy lao động này là gì?,chỉ mang tính chất tham khảo
Tôi cần nghiên cứu kỹ những nội dung nào?,"Tiền lương, thời gian làm việc tại từng nơi làm việc"
Bản mẫu nội quy này được lập ra để áp dụng cho đối tượng nào?,Bản mẫu nội quy này chủ yếu được lập ra để áp dụng cho người lao động chính thức.
Người lao động bán thời gian có phải tuân theo bản mẫu nội quy này không?,Phải xác nhận xem những điều khoản trong bản mẫu nội quy này có thể áp dụng cho người lao động bán thời gian hay không.
Nếu người lao động bán thời gian hoặc nhân viên hợp đồng có thời hạn không thể áp dụng bản mẫu nội quy này thì phải làm gì?,"Nếu cần thiết, vui lòng lập một bản nội quy lao động khác."
Khi nào cần lập một bản nội quy lao động khác?,Khi cần thay đổi các điều khoản liên quan đến người lao động
Ai cần được lắng nghe ý kiến khi thay đổi nội quy lao động?,Người được công nhận là đại diện cho quá bán số người lao động bán thời gian hoặc người lao động có hợp đồng lao động có thời hạn
Căn cứ pháp lý cho việc lắng nghe ý kiến của người lao động khi thay đổi nội quy lao động?,"Điều 7, Luật liên quan"
Đoạn văn bản đề cập đến luật nào?,Luật lao động bán thời gian/có thời hạn (Luật số 76 năm 1993)
Mục đích của việc cải thiện quản lý tuyển dụng?,Cải thiện quản lý tuyển dụng đối với người lao động ngắn hạn và người lao động có hợp đồng lao động có thời hạn
Chương 2 trong sổ tay nhân viên đề cập đến vấn đề gì?,"Tuyển dụng, thuyên chuyển, v.v..."
Nội quy lao động quy định những điều gì về thời gian làm việc?,"Thời gian làm việc, thời gian nghỉ giải lao"
Điều 19 của nội quy lao động quy định về vấn đề gì?,"Thời gian làm việc, thời gian nghỉ giải lao"
Điều 23 trong sổ tay nhân viên quy định về vấn đề gì?,Nghỉ phép hưởng lương hằng năm
Điều 25 trong sổ tay nhân viên quy định về vấn đề gì?,Nghỉ trước và sau khi sinh
Điều 46 trong sổ tay nhân viên quy định về vấn đề gì?,Thời gian tính lương và ngày chi trả
Điều gì được quy định sau phần về tuổi nghỉ hưu?,Điều 52 (Thôi việc) và Điều 53 (Sa thải)
Chương 9 trong sổ tay nhân viên nói về vấn đề chuyển sang loại hợp đồng lao động nào?,Hợp đồng lao động vô thời hạn
Chương 10 trong sổ tay nhân viên đề cập đến vấn đề gì?,An toàn vệ sinh và Bồi thường tai nạn
Nội quy lao động quy định về những điều khoản nào?,Nội quy lao động quy định ra những điều khoản liên quan đến việc làm của người lao động của Công ty cổ phần.
Nội quy lao động được lập dựa trên cơ sở nào?,Nội quy lao động được lập dựa theo Điều 89 Luật tiêu chuẩn lao động (Luật lao động).
Phần nào của nội quy lao động quy định về phạm vi áp dụng và mục đích?,Phần nguyên tắc chung quy định về phạm vi áp dụng và mục đích của việc lập nội quy lao động.
Nội quy lao động được quy định dựa trên những cơ sở pháp lý nào?,Nội quy lao động được quy định dựa trên các quy định của Luật lao động và các văn bản pháp lý có liên quan.
Mục đích của Ví dụ nội quy lao động là gì?,Mục đích của Ví dụ nội quy lao động là quy định ra những điều khoản liên quan đến việc làm của người lao động.
Liệu tất cả các điều khoản liên quan đến việc làm của người lao động đều được quy định trong nội quy lao động?,"Không, không phải tất cả các điều khoản liên quan đến việc làm của người lao động đều được quy định trong nội quy lao động."
Nội quy lao động được dựa trên những quy định nào?,Nội quy lao động được dựa trên quy định pháp luật liên quan như Luật lao động.
Hợp đồng lao động không phù hợp với tiêu chuẩn nội quy lao động sẽ được xử lý như thế nào?,Những phần không hợp lệ sẽ phải tuân theo tiêu chuẩn được quy định trong nội quy lao động.
Cơ sở pháp lý cho việc xử lý hợp đồng lao động không hợp lệ?,Điều 12 Luật hợp đồng lao động
Phạm vi áp dụng của Nội quy này là gì?,Áp dụng cho người lao động của Công ty cổ phần ____
Có cần thiết phải lập ra nội quy lao động cho tất cả người lao động không?,Cần thiết phải lập ra nội quy lao động cho tất cả người lao động.
Nội quy lao động có phải hoàn toàn giống nhau cho tất cả người lao động không?,"Không, nội quy lao động không phải hoàn toàn giống nhau cho tất cả người lao động."
Người lao động bán thời gian và chính thức có hình thức làm việc giống nhau không?,"Không, người lao động bán thời gian có hình thức làm việc khác với người lao động chính thức."
Nội quy lao động cho người lao động bán thời gian được quy định như thế nào?,"Phải ghi rõ những điều đó vào nội quy lao động chính, lập ra quy định áp dụng cho người lao động bán thời gian và lập ra nội quy lao động riêng."
Nội quy lao động cho người lao động bán thời gian có cần tách biệt với nội quy lao động chính không?,"Có, những điều khoản liên quan đến việc làm của người lao động bán thời gian được quy định riêng, tách biệt với nội quy lao động chính."
Có cần lập quy định áp dụng cho người lao động bán thời gian không?,"Có, phải lập ra quy định áp dụng cho người lao động bán thời gian và lập ra nội quy lao động riêng."
Khi nào thì luật cấm phân biệt đối xử về chế độ đãi ngộ giữa lao động bán thời gian và lao động toàn thời gian có hiệu lực?,Kể từ tháng 4 năm 2020
"Đối với người lao động bán thời gian và người lao động có hợp đồng có thời hạn tại doanh nghiệp nhỏ và vừa, khi nào thì luật cấm phân biệt đối xử về chế độ đãi ngộ có hiệu lực?",Kể từ tháng 4 năm 2021
Các luật nào quy định về lao động phái cử và lao động chính thức?,Các luật như Luật lao động bán thời gian/có thời hạn và Luật đảm bảo hoạt động đúng đắn của dịch vụ giới thiệu việc làm và bảo vệ người lao động phái cử (Luật số 88 năm 1985).
Các yếu tố nào được xét khi so sánh lao động phái cử và lao động chính thức?,"Nội dung công việc, phạm vi thay đổi nội dung công việc và phân công công việc."
Các chế độ đãi ngộ nào được áp dụng cho lao động phái cử và lao động chính thức?,"Tất cả các chế độ đãi ngộ như phúc lợi, nghỉ phép, v.v., không chỉ áp dụng cho tiền lương."
Người lao động bán thời gian và người lao động có hợp đồng lao động có thời hạn có được đối xử công bằng về tiền lương như người lao động chính thức không?,"Không, có sự khác biệt về việc xử lý tiền lương giữa người lao động bán thời gian, người lao động có hợp đồng lao động có thời hạn và người lao động chính thức."
Người sử dụng lao động có phải giải thích về sự khác biệt giữa người lao động bán thời gian và người lao động chính thức không?,"Có, người sử dụng lao động phải giải thích rõ ràng về những điểm khác biệt đó và lý do dẫn đến sự khác biệt khi người lao động bán thời gian hoặc người lao động có hợp đồng lao động có thời hạn yêu cầu."
Căn cứ pháp lý nào quy định về việc đối xử với người lao động bán thời gian và người lao động có hợp đồng lao động có thời hạn?,Khoản 2 Điều 14 Luật lao động bán thời gian và lao động có hợp đồng có thời hạn.
Người lao động có nghĩa vụ gì đối với nội quy lao động?,Người lao động phải tuân thủ nội quy này.
Cả những ai phải tuân thủ các nội quy lao động?,Cả người lao động và người sử dụng lao động phải tuân thủ các nội quy lao động.
Chương ２ của sổ tay nhân viên quy định về những vấn đề gì?,"Chương này quy định về những điều khoản liên quan đến quy trình tuyển dụng, thời gian thử việc, nêu rõ điều kiện lao động, thuyên chuyển nhân sự và nghỉ việc tạm thời."
Doanh nghiệp tuyển dụng nhân viên như thế nào?,Doanh nghiệp tổ chức thi tuyển những người có nguyện vọng vào doanh nghiệp và tuyển dụng những người thi đỗ.
Mục đích của quy trình tuyển dụng trong doanh nghiệp là gì?,Mục đích của quy trình tuyển dụng là để tuyển dụng những người thi đỗ vào doanh nghiệp.
Doanh nghiệp cần phải làm gì khi tuyển dụng lao động?,"Doanh nghiệp phải tạo cơ hội bình đẳng, không phân biệt nam nữ khi tuyển dụng lao động"
Những yêu cầu nào bị coi là nghiêm cấm khi tuyển dụng?,"Những yêu cầu về thể lực, chiều cao, cân nặng, đáp ứng được yêu cầu chuyển việc cùng với chuyển chỗ ở khi tuyển dụng bị coi là nghiêm cấm do phân biệt"
"Căn cứ pháp lý nào quy định về chế độ đãi ngộ, cơ hội bình đẳng nam nữ trong lĩnh vực tuyển dụng?","Luật số 113 năm 1972, gọi là “Luật bình đẳng”"
"Khi được tuyển dụng, nhân viên cần nộp những loại hồ sơ gì?","Chứng minh thư ghi địa chỉ thường trú, bản sao bằng lái xe ô tô, bản sao bằng cấp chứng chỉ và những loại giấy tờ khác công ty chỉ định"
Nhân viên có cần nộp bản sao bằng lái xe ô tô không?,Chỉ trong trường hợp có bằng lái xe ô tô
Công ty yêu cầu nhân viên nộp lại những loại giấy tờ nào khi có thay đổi?,Những loại giấy tờ khác công ty chỉ định
Khi nào thì người lao động phải nộp lại các điều khoản thay đổi?,Khi có thay đổi về nội dung đề cập trong hồ sơ đã nộp
Khi nào thì thời gian thử việc được tính?,Đối với người đã được tuyển dụng như người lao động mới
Tại sao người lao động cần được giải thích khi nộp hồ sơ?,Vì cần làm rõ và giải thích về mục đích nộp những hồ sơ đó cho người lao động
Thời gian thử việc là bao lâu?,13 tháng kể từ ngày tuyển dụng
Doanh nghiệp có thể rút ngắn thời gian thử việc không?,"Có, nếu doanh nghiệp đặc biệt phê duyệt"
Thời gian thử việc quá dài có thể gây ra vấn đề gì?,Gây bất ổn cho tình trạng việc làm của người lao động
Trợ cấp báo trước sa thải được quy định như thế nào?,Trợ cấp báo trước sa thải tương đương ít nhất 30 ngày lương trung bình
"Khi tuyển dụng, công ty cần cung cấp những thông tin gì cho người lao động?","Công ty phải nêu rõ điều kiện lao động, bao gồm tiền lương, nơi làm việc, công việc sẽ làm, thời gian làm việc, ngày nghỉ và những điều kiện lao động khác"
Người lao động sẽ nhận được những tài liệu gì khi được tuyển dụng?,Người lao động sẽ nhận được nội quy và bản thông báo điều kiện lao động
"Khi tuyển dụng lao động, cần phải nêu rõ những điều kiện lao động nào?","Tiền lương, thời gian làm việc và những điều kiện lao động khác"
Nhà tuyển dụng phải gửi những thông tin gì dưới dạng văn bản cho người lao động?,Từ mục (1) đến mục (6) khi nêu điều kiện lao động (loại trừ điều khoản liên quan đến tăng lương)
Căn cứ pháp lý nào quy định về việc nêu điều kiện lao động cho người lao động?,"Điều 15 Luật lao động, Điều 5 Quy tắc thi hành Luật lao động"
Hợp đồng lao động có những điều khoản nào?,"Hợp đồng lao động có các điều khoản liên quan đến thời gian của hợp đồng lao động, tiêu chuẩn trong trường hợp gia hạn hợp đồng lao động có thời hạn, công việc đảm nhận và nơi làm việc, thời gian bắt đầu và kết thúc làm việc."
Điều khoản nào chỉ áp dụng trong trường hợp gia hạn hợp đồng có thời hạn?,Điều khoản liên quan đến tiêu chuẩn trong trường hợp gia hạn hợp đồng lao động có thời hạn chỉ áp dụng trong trường hợp gia hạn hợp đồng có thời hạn.
Những thông tin nào liên quan đến thời gian làm việc được quy định trong hợp đồng lao động?,"Những thông tin liên quan đến thời gian làm việc được quy định trong hợp đồng lao động bao gồm thời gian bắt đầu và kết thúc làm việc, có lao động vượt quá thời gian làm việc quy định hay không, thời gian nghỉ giải lao, ngày nghỉ, nghỉ phép."
"Điều khoản nào liên quan đến việc xác định, phương pháp tính và trả lương?","Điều khoản liên quan đến việc xác định, phương pháp tính và trả lương không bao gồm"
Người lao động có thể yêu cầu thông báo về điều kiện lao động bằng phương thức nào?,Người lao động có thể yêu cầu thông báo về điều kiện lao động bằng phương thức gửi bằng máy fax hoặc phương thức gửi thông tin qua phương tiện truyền thông điện tử.
Điều kiện để chấp nhận các hình thức thư điện tử là gì?,Chỉ chấp nhận các hình thức khi người lao động có thể tạo bản sao tài liệu bằng cách trích xuất bản ghi của thư điện tử hoặc các hình thức điện tử tương tự.
"Khi tuyển dụng người lao động bán thời gian, cần làm rõ những chế độ gì?","các chế độ như tiền thưởng, trợ cấp thôi việc và tăng lương"
Tại sao cần làm rõ các điều kiện lao động bằng văn bản cho ứng viên?,vì trong trường hợp hợp đồng lao động được coi là đã được ký kết thông qua quyết định tuyển dụng
Căn cứ pháp lý nào quy định việc làm rõ chế độ cho người lao động bán thời gian?,Khoản 1 Điều 6 Luật lao động bán thời gian/có thời hạn
Công ty có thể yêu cầu thuyên chuyển nghiệp vụ và nơi làm việc của người lao động trong trường hợp nào?,Trong trường hợp cần thiết thay đổi về mặt nghiệp vụ
Người lao động có thể từ chối thuyên chuyển công tác không?,"Không, trừ khi các khoản như tiền trợ cấp thôi việc và tiền lương được chi trả tạm thời"
Công ty có thể cử người lao động sang công ty liên quan không?,"Có, trong trường hợp cần thiết thay đổi về mặt nghiệp vụ"
Những vấn đề gì liên quan đến lương được đề cập?,các vấn đề liên quan đến tăng lương và thời điểm chi trả
Điều khoản liên quan đến thôi việc bao gồm những nội dung gì?,bao gồm cả lý do sa thải
Công ty có thể thay đổi nghiệp vụ công việc hay nơi làm việc sau khi tuyển dụng người lao động không?,"Có, công ty có thể thay đổi nghiệp vụ công việc hay nơi làm việc sau khi tuyển dụng người lao động."
Tại sao việc ghi rõ nội quy lao động lại quan trọng?,Việc ghi rõ nội quy lao động là quan trọng vì nó giúp tránh phát sinh tranh chấp khi yêu cầu thay đổi nơi làm việc không phù hợp với mong muốn của người lao động.
Có cần thỏa thuận đặc biệt nào về việc không thay đổi công việc hay không?,"Có, nếu không có thỏa thuận đặc biệt nào về việc không thay đổi, công ty có thể thay đổi nghiệp vụ công việc hay nơi làm việc sau khi tuyển dụng người lao động."
"Khi thay đổi nơi làm việc của người lao động, người sử dụng lao động cần xem xét đến yếu tố nào?",Hoàn cảnh chăm con và chăm sóc người thân của họ
Người lao động có quyền gì khi phải chăm con và chăm sóc người thân?,Được nghỉ chăm con và nghỉ chăm sóc người thân
Luật nào quy định về phúc lợi của người lao động phải chăm con và chăm sóc người thân?,"Luật số 76 năm 1991, gọi là “Luật nghỉ chăm con và chăm sóc người thân”"
Khi nào người lao động phải nghỉ việc tạm thời?,"Khi không thể đi làm do bị bệnh tật thương tích bên ngoài công việc phải nghỉ làm quá tháng, và cần tiếp tục điều trị"
Khi nào người lao động sẽ phải quay lại làm việc?,Khi lý do nghỉ việc tạm thời không còn trong thời gian nghỉ việc tạm thời
Người lao động có thể làm việc khác khi quay lại công ty không?,"Có, nếu việc quay trở lại với công việc ban đầu gặp khó khăn hay không phù hợp"
Người lao động có bắt buộc phải quay lại công việc ban đầu không?,"Không, có thể làm sang công việc khác nếu việc quay trở lại công việc ban đầu gặp khó khăn hay không phù hợp"
Người lao động có thể nghỉ việc tạm thời trong trường hợp nào?,Người lao động được miễn nghĩa vụ phải làm việc trong một khoảng thời gian nhất định nhưng vẫn được coi như người lao động bình thường do những lý do đặc biệt.
Thời gian thôi việc tạm thời có ý nghĩa gì?,Thời gian thôi việc tạm thời là khoảng thời gian người lao động được miễn nghĩa vụ phải làm việc nhưng vẫn được coi như người lao động bình thường.
Người lao động sẽ làm gì nếu chưa điều trị khỏi bệnh sau khi hết thời gian thôi việc tạm thời?,"Người lao động sẽ thôi việc sau khi hết thời gian thôi việc tạm thời nếu vẫn chưa điều trị khỏi bệnh, gặp khó khăn trong công việc."
Người lao động không thể làm việc được trong một thời gian dài do đâu?,"Do cá nhân của người lao động mà chủ yếu là bệnh tật, v.v."
Người lao động có thể bị hủy bỏ nghỉ việc tạm thời trong trường hợp nào?,Khi lý do nghỉ việc tạm thời không còn nữa
Liệu Luật lao động có quy định về định nghĩa nghỉ việc tạm thời hay không?,Không có quy định về định nghĩa nghỉ việc tạm thời
Người lao động cần phải làm gì với công việc của mình?,"Người lao động phải nhận thức được trách nhiệm của mình với công việc, tiến hành công việc một cách trung thực, cũng như phải tuân theo mệnh lệnh và chỉ thị của công ty, đồng thời nỗ lực nâng cao hiệu quả công việc và duy trì trật tự nơi làm việc."
Người lao động cần tuân thủ những gì?,Người lao động phải tuân thủ các điều khoản dưới đây
Luật nào cấm lạm dụng chức quyền ở nơi làm việc?,"Luật Thúc đẩy Chính sách Lao động tổng hợp, ổn định việc làm và cải thiện đời sống nghề nghiệp của người lao động (Luật số 132 năm 1966)"
Mục đích của việc cấm quấy rối tình dục là gì?,"Để không làm tổn hại đến môi trường làm việc và tạo ra cảm giác khó chịu, không thoải mái cho người lao động khác"
Chủ doanh nghiệp cần làm gì để ngăn chặn quấy rối tình dục tại nơi làm việc?,Chủ doanh nghiệp phải xem xét thực hiện những biện pháp cần thiết về mặt quản lý tuyển dụng
Những biện pháp nào cần được thực hiện về mặt quản lý tuyển dụng?,Những biện pháp cần thiết về mặt quản lý tuyển dụng
Những hành vi quấy rối nào bị cấm?,"Những hành vi liên quan đến xu hướng tình dục và bản dạng giới, gây ảnh hưởng xấu đến môi trường làm việc của người lao động khác"
Người lao động cần chú trọng vào việc quản lý thông tin nào?,Người lao động phải đặc biệt chú trọng vào việc quản lý thông tin liên quan đến công ty và các đối tác.
Người lao động cần làm gì khi thôi việc hoặc thay đổi công việc?,"Phải nhanh chóng trả lại dữ liệu, hồ sơ thông tin, tài liệu liên quan đến công ty và đối tác bản thân người đó đang quản lý."
Người sử dụng lao động có nghĩa vụ gì liên quan đến bảo vệ thông tin cá nhân?,Đưa ra chính sách quản lý thông tin cá nhân phù hợp
Người lao động cần làm gì để lưu lại thời gian bắt đầu và kết thúc công việc?,Người lao động phải tự mình quẹt thẻ khi bắt đầu và kết thúc công việc để lưu lại thời gian bắt đầu và kết thúc công việc.
Ai có trách nhiệm lập biện pháp quản lý thời gian làm việc?,Người sử dụng lao động nên lập ra các biện pháp để nắm quản lý thời gian làm việc.
Người sử dụng lao động cần nắm được thông tin gì về người lao động?,Tình hình thời gian làm việc của người lao động
Người sử dụng lao động có thể sử dụng phương pháp nào để ghi chép thời gian làm việc?,"Ghi chép bằng thẻ chấm công, ghi chép thời gian sử dụng các thiết bị điện tử như máy tính"
Tại sao người sử dụng lao động cần quản lý thời gian làm việc?,"Vì trong khuôn khổ Luật lao động, có các quy định liên quan đến thời gian làm việc, ngày nghỉ, làm việc vào ban đêm, v.v."
Người sử dụng lao động có nghĩa vụ gì?,"Phải quản lý thời gian làm việc một cách hợp lý, bao gồm việc nắm bắt chính xác thời gian làm việc."
Mục đích của việc quản lý thời gian làm việc là gì?,Để nắm bắt một cách chính xác thời gian làm việc trong khuôn khổ Luật lao động.
Thời gian làm việc được định nghĩa như thế nào?,"Thời gian làm việc là khoảng thời gian người lao động làm việc dưới sự chỉ huy, điều khiển của người sử dụng lao động"
Những khoảng thời gian nào sẽ được tính là thời gian làm việc?,Thời gian người lao động tham gia vào công việc theo chỉ thị trực tiếp hoặc gián tiếp của người sử dụng lao động
Ai quyết định thời gian chờ và công việc chuẩn bị cần thiết cho nhiệm vụ được giao?,Người sử dụng lao động quyết định thời gian chờ và công việc chuẩn bị cần thiết cho nhiệm vụ được giao.
Người sử dụng lao động cần làm gì để quản lý chính xác thời gian làm việc?,"Phải kiểm tra thời gian bắt đầu, kết thúc làm việc của mỗi ngày làm việc và lưu lại thời gian đó"
"Thời gian tham gia các khóa đào tạo, huấn luyện bắt buộc cho công việc được tính như thế nào?",Được tính vào thời gian làm việc
Người sử dụng lao động phải làm gì khi tiến hành theo hình thức tự khai báo?,Phải xem xét thực hiện những biện pháp cần thiết
Đối tượng nào phải tự khai báo?,Những người lao động thuộc diện tự khai báo
Cần làm gì khi yêu cầu người lao động báo cáo lý do ở lại nơi làm việc quá thời gian?,Xác minh tính chính xác của báo cáo đó
"Báo cáo về thời gian nghỉ giải lao, tham gia các khóa đào tạo tự nguyện, huấn luyện được coi là gì?",Không phải là thời gian làm việc
Thời gian làm việc được xác định như thế nào?,"Thời gian làm việc sẽ được coi là thời gian người lao động chịu sự chỉ huy, điều khiển của người sử dụng lao động, chẳng hạn như làm việc theo chỉ đạo của người sử dụng lao động."
Hình thức tự khai báo được xây dựng trên cơ sở nào?,Hình thức tự khai báo được xây dựng trên cơ sở giả định rằng người lao động sẽ khai báo chính xác.
Người sử dụng lao động nên làm gì để đảm bảo tính chính xác của báo cáo thời gian làm việc?,Người sử dụng lao động không nên xem xét thực hiện biện pháp cản trở người lao động khai báo chính xác về thời gian làm việc.
Mục đích của việc xác nhận thông báo nội bộ và biện pháp xử trí tại nơi làm việc là gì?,Để cắt giảm thời gian lao động làm thêm ngoài giờ
Tại sao việc tuân thủ thời gian làm việc lại quan trọng?,Việc tuân thủ thời gian làm việc theo quy định của Luật lao động là điều tất yếu
Làm thế nào để kiểm tra việc tuân thủ thời gian làm việc?,Cần kiểm tra xem liệu có tình trạng thực tế làm thêm giờ vượt quá số giờ cho phép nhưng lại ghi nhận là đã tuân thủ quy định hay không
Thỏa thuận lao động nào liên quan đến việc làm thêm giờ?,Thỏa thuận lao động hay còn gọi là Thỏa thuận 36
Người sử dụng lao động cần ghi chép những thông tin gì?,"Số ngày làm việc, số giờ làm việc, số giờ làm việc vào ngày nghỉ, số giờ làm thêm ngoài giờ và số giờ làm việc vào ban đêm cho từng người lao động."
Ai có trách nhiệm lập bảng lương chính xác?,Người sử dụng lao động
Căn cứ pháp lý nào quy định việc lập bảng lương?,Điều 108 của Luật lao động và Điều 54 của Quy tắc thi hành Luật lao động
Người sử dụng lao động có thể bị phạt bao nhiêu tiền nếu không ghi các điều khoản vào bảng lương?,"Người sử dụng lao động có thể bị phạt tiền lên đến 300,000 yên."
Người sử dụng lao động cần lưu trữ những loại tài liệu nào?,"Người sử dụng lao động phải lưu trữ danh sách người lao động, bảng lương và các tài liệu liên quan đến ghi chép thời gian làm việc."
Điều luật nào quy định về việc phạt người sử dụng lao động nếu không ghi đúng số giờ làm việc vào bảng lương?,Điều 120 của Luật này quy định về việc phạt người sử dụng lao động nếu không ghi đúng số giờ làm việc vào bảng lương.
"Người lao động cần làm gì khi đi muộn, về sớm, nghỉ làm hay ra khỏi nơi làm việc vì lý do cá nhân?",Phải xin phép trước và phải nhận được sự phê duyệt.
"Người lao động cần làm gì sau khi đi muộn, về sớm, nghỉ làm hay ra khỏi nơi làm việc vì lý do bất khả kháng?",Phải nhanh chóng xin phép phê duyệt
Trường hợp nào sẽ khấu trừ lương?,"Trường hợp đã quy định ở khoản trước, về nguyên tắc sẽ khấu trừ lương đối với khoảng thời gian không lao động theo quy định tại Điều ４５."
Người lao động cần làm gì khi nghỉ liên tiếp ngày do đau ốm?,Phải nộp giấy chẩn đoán bệnh của bác sĩ.
"Thời gian làm việc, thời gian nghỉ giải lao và ngày nghỉ có quan trọng trong nội quy lao động không?","Có, đó là những điều khoản tuyệt đối cần thiết"
